dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared
synthetic_normal,normal,10000,10000,0.3,0.3,1,0.044090986251831055,0.022624969482421875,-3.875,0.046875,3.480602128436071e-12,6.960995288168183e-12
synthetic_normal,normal,10000,10000,0.3,0.3,2,0.04511380195617676,0.02087688446044922,-1.140625,0.03125,3.8245782107969874e-12,7.64939929678574e-12
synthetic_normal,normal,10000,10000,0.5,0.5,0,0.045659780502319336,0.023350954055786133,0.015625,-0.546875,3.3967458971742425e-12,6.793590785197971e-12
synthetic_normal,normal,10000,10000,0.5,0.5,1,0.0489499568939209,0.023118972778320312,-0.5,0.171875,2.5385094933039543e-12,5.076449783622967e-12
synthetic_normal,normal,10000,10000,0.5,0.5,2,0.04439401626586914,0.0236661434173584,0.0,0.09375,2.4044954008763105e-12,4.80892888941908e-12
synthetic_normal,normal,10000,10000,r0.1,3.807301498932386,0,0.04460287094116211,0.028483867645263672,0.0,0.0,3.340519810383584e-10,6.681001696280918e-10
synthetic_normal,normal,10000,10000,r0.1,3.924318979027335,1,0.04494071006774902,0.028692960739135742,0.0,0.0,3.6206101232268474e-10,7.241167702620767e-10
synthetic_normal,normal,10000,10000,r0.1,3.887565871136532,2,0.04514193534851074,0.028194904327392578,0.0,0.015625,3.4730550851971497e-10,6.946056508605227e-10
synthetic_normal,normal,10000,10000,r0.3,11.421904496797158,0,0.044162750244140625,0.029422283172607422,0.0,0.0,-6.588189506933446e-09,3.0959324922162156e-09
synthetic_normal,normal,10000,10000,r0.3,11.772956937082004,1,0.048605918884277344,0.03001880645751953,0.0,-1.71875,-6.3244609875604235e-09,3.1806437125220866e-09
synthetic_normal,normal,10000,10000,r0.3,11.662697613409595,2,0.046365976333618164,0.030096054077148438,-0.703125,0.0,-6.43303716782427e-09,3.140790074054308e-09
synthetic_bimodal,bimodal,10,10,0.1,0.1,0,0.00017714500427246094,0.0002770423889160156,0.125,0.015625,0.002546819237951944,0.004823985377338083
synthetic_bimodal,bimodal,10,10,0.1,0.1,1,7.390975952148438e-05,0.00024700164794921875,0.015625,0.0,0.002095374028610904,0.003958598487459903
synthetic_bimodal,bimodal,10,10,0.1,0.1,2,5.7697296142578125e-05,0.00015997886657714844,0.0,0.0,0.0024257779911917065,0.004564284283400968
synthetic_bimodal,bimodal,10,10,0.3,0.3,0,6.079673767089844e-05,0.0001499652862548828,0.0,0.0,0.001281657592022531,0.002431435774191777
synthetic_bimodal,bimodal,10,10,0.3,0.3,1,8.130073547363281e-05,0.00021076202392578125,0.0,0.0,0.001632374576578673,0.003084693532451854
synthetic_bimodal,bimodal,10,10,0.3,0.3,2,6.723403930664062e-05,0.0002110004425048828,0.0,0.0,0.0021644134260130005,0.004121209212568105
synthetic_bimodal,bimodal,10,10,0.5,0.5,0,9.179115295410156e-05,0.0002090930938720703,0.078125,0.0,0.0010524345574938801,0.002012533824609265
synthetic_bimodal,bimodal,10,10,0.5,0.5,1,7.390975952148438e-05,0.0002789497375488281,0.0,0.0,0.0016818157564311648,0.0031720370670443214
synthetic_bimodal,bimodal,10,10,0.5,0.5,2,6.794929504394531e-05,0.0001800060272216797,0.0,0.015625,0.001499447197989011,0.002837234176285762
synthetic_bimodal,bimodal,10,10,r0.1,1.3403574869053534,0,8.511543273925781e-05,0.00017309188842773438,0.0625,0.0,0.0010651812519713554,0.0020271636527919618
synthetic_bimodal,bimodal,10,10,r0.1,1.7462465300825945,1,8.821487426757812e-05,0.00026798248291015625,0.0625,0.0,0.0009116732229722383,0.0017497021683135522
synthetic_bimodal,bimodal,10,10,r0.1,1.652065324010212,2,5.91278076171875e-05,0.00014591217041015625,0.0,0.0,0.0008460430240726923,0.0016248245524377977
synthetic_bimodal,bimodal,10,10,r0.3,4.021072460716059,0,6.29425048828125e-05,0.00019025802612304688,0.0,0.0,0.0004819146228033323,0.0009885177307787229
synthetic_bimodal,bimodal,10,10,r0.3,5.238739590247783,1,6.985664367675781e-05,0.00029015541076660156,0.0,0.0,0.0004426785136585039,0.000904871468982602
synthetic_bimodal,bimodal,10,10,r0.3,4.956195972030636,2,6.29425048828125e-05,0.00018978118896484375,0.0,0.0,0.0004202953616655996,0.0008591282864164292
synthetic_bimodal,bimodal,100,100,0.1,0.1,0,0.00048804283142089844,0.0003857612609863281,0.84375,0.0,6.450370114039376e-06,1.2851731097698565e-05
synthetic_bimodal,bimodal,100,100,0.1,0.1,1,0.0011909008026123047,0.00040912628173828125,2.421875,0.0,7.5448086751385555e-06,1.5030821947953985e-05
synthetic_bimodal,bimodal,100,100,0.1,0.1,2,0.00033283233642578125,0.0003719329833984375,0.015625,0.0,7.28830285660899e-06,1.4511780171414694e-05
synthetic_bimodal,bimodal,100,100,0.3,0.3,0,0.0006091594696044922,0.00037217140197753906,1.53125,0.0,2.9019310731059126e-06,5.783042526456308e-06
synthetic_bimodal,bimodal,100,100,0.3,0.3,1,0.0003800392150878906,0.0004591941833496094,0.0,0.0,3.0569070203591013e-06,6.095179593109779e-06
synthetic_bimodal,bimodal,100,100,0.3,0.3,2,0.0005359649658203125,0.0003731250762939453,2.28125,0.0,3.632316946759296e-06,7.241767819488784e-06
synthetic_bimodal,bimodal,100,100,0.5,0.5,0,0.0009429454803466797,0.00043082237243652344,0.0,0.0,2.1787616795076927e-06,4.3410964409499555e-06
synthetic_bimodal,bimodal,100,100,0.5,0.5,1,0.0003809928894042969,0.0004620552062988281,0.015625,0.0,1.5107747090959303e-06,3.0157683470530823e-06
synthetic_bimodal,bimodal,100,100,0.5,0.5,2,0.00041294097900390625,0.00040912628173828125,0.0,0.0,2.786969595777626e-06,5.556505525006055e-06
synthetic_bimodal,bimodal,100,100,r0.1,2.4051003649498615,0,0.0003619194030761719,0.0005061626434326172,0.0,0.0,1.6205435907739305e-06,3.233877704529023e-06
synthetic_bimodal,bimodal,100,100,r0.1,2.22540551354309,1,0.0010478496551513672,0.0004942417144775391,2.234375,0.0,1.5632696110635892e-06,3.1103317831639833e-06
synthetic_bimodal,bimodal,100,100,r0.1,2.5414936082875155,2,0.0006091594696044922,0.0004470348358154297,0.0,0.0,1.6297421904641239e-06,3.252144619306643e-06
synthetic_bimodal,bimodal,100,100,r0.3,7.215301094849584,0,0.00039577484130859375,0.00044274330139160156,-1.890625,-1.046875,9.967729223334652e-06,2.1994873029727653e-05
synthetic_bimodal,bimodal,100,100,r0.3,6.6762165406292695,1,0.0006551742553710938,0.0005087852478027344,2.421875,0.0,6.672113252086738e-06,1.5936009014612927e-05
