dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared,optimization_used,kernel_type
synthetic_normal,normal,1000,1000,0.5,0.5,1,0.00028395652770996094,0.003058910369873047,0.0,0.0,0.0060483738148038035,0.010550946243890462,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.5,0.5,2,0.0002849102020263672,0.0026268959045410156,0.0,0.0,0.007758998710510812,0.013050152130982963,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.5,0.5,3,0.00028395652770996094,0.0025980472564697266,0.0,0.0,0.006669291349311308,0.011710457003983458,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,0.5,0.5,4,0.0003237724304199219,0.0027709007263183594,0.0,0.0,0.0064215597066909534,0.011469320586247656,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.1,3.350637055642399,0,0.00027489662170410156,0.003195047378540039,0.0,0.0,0.02079349056177128,0.034784177236803625,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.1,3.5469994153618973,1,0.0003437995910644531,0.0031909942626953125,0.0,0.0,0.025544096865978413,0.042078899636194385,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.1,3.5469994153618973,2,0.000263214111328125,0.0030660629272460938,0.0,0.0,0.02398356183464938,0.04108069979370577,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.1,3.5469994153618973,3,0.00024819374084472656,0.0030689239501953125,0.0,0.015625,0.02351297202708566,0.04047438674126266,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.1,3.1600740742621554,4,0.0002338886260986328,0.0030350685119628906,0.0,0.015625,0.016961931821094085,0.02869746057339665,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.3,10.051911166927196,0,0.0002789497375488281,0.00308990478515625,0.0,0.0,0.1921510607805751,0.2935014267557122,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.3,10.64099824608569,1,0.00028014183044433594,0.003171205520629883,0.0,0.015625,0.2081290580041879,0.3159573520247162,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.3,10.64099824608569,2,0.00027489662170410156,0.003100872039794922,0.0,0.0,0.2076175130990512,0.3176629653239035,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.3,10.64099824608569,3,0.0003032684326171875,0.0031380653381347656,0.0,0.0,0.2059187462807292,0.3158583434594825,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,1000,1000,r0.3,9.480222222786466,4,0.0002999305725097656,0.0032889842987060547,0.0,0.0,0.17830622064718366,0.27296617014068525,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.1,0.1,0,0.0013720989227294922,0.01925516128540039,0.0,0.046875,0.0032357938173367537,0.005841405318413935,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.1,0.1,1,0.0013670921325683594,0.019160985946655273,0.0,0.03125,0.003518241730011583,0.006420863607619519,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.1,0.1,2,0.0015349388122558594,0.019269227981567383,0.0,0.0,0.0037497343921636516,0.006790698405371104,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.1,0.1,3,0.0015501976013183594,0.019459009170532227,0.0,0.0,0.0036210527850838543,0.00655933677747066,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.1,0.1,4,0.0015249252319335938,0.019651174545288086,0.0,0.015625,0.0034503724504375277,0.006254195957465495,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.3,0.3,0,0.0015082359313964844,0.02150726318359375,0.0,0.015625,0.0012829162647853799,0.0023690263873380863,epanechnikov_optimized,epanechnikov
