,Case,Method,Sigma_Option,Sigma,Normalized,Empirical_Method,Similarity_Overlap,Distance_Euclidean,MSE_s1,KL_Divergence_s1,AIC_s1,BIC_s1,MSE_s2,KL_Divergence_s2,AIC_s2,BIC_s2
169,3,kde,r0.01,,False,counts,0.3884454350465466,7.285612986400494,0.25367856355382423,-38.709121360285415,6055.988102739928,6065.803613297892,0.10806676417448975,-4.408654447898401,4155.934489609906,4165.750000167871
170,3,kde,r0.1,,False,kde,0.3884454350465466,7.285612986400494,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.10806676417448975,-4.408654447898401,4155.934489609906,4165.750000167871
171,3,kde,r0.1,,False,counts,0.3884454350465466,7.285612986400494,0.25367856355382423,-38.709121360285415,6055.988102739928,6065.803613297892,0.10806676417448975,-4.408654447898401,4155.934489609906,4165.750000167871
172,3,kde,r0.2,,False,kde,0.3884454350465466,7.285612986400494,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.10806676417448975,-4.408654447898401,4155.934489609906,4165.750000167871
173,3,kde,r0.2,,False,counts,0.3884454350465466,7.285612986400494,0.25367856355382423,-38.709121360285415,6055.988102739928,6065.803613297892,0.10806676417448975,-4.408654447898401,4155.934489609906,4165.750000167871
174,3,kde,r0.5,,False,kde,0.3884454350465466,7.285612986400494,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.10806676417448975,-4.408654447898401,4155.934489609906,4165.750000167871
175,3,kde,r0.5,,False,counts,0.3884454350465466,7.285612986400494,0.25367856355382423,-38.709121360285415,6055.988102739928,6065.803613297892,0.10806676417448975,-4.408654447898401,4155.934489609906,4165.750000167871
176,3,kde,0.01,,True,kde,0.8610431468937717,1.747526123992302,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
177,3,kde,0.01,,True,counts,0.8610431468937717,1.747526123992302,0.2536785635538243,-38.709121360285415,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
178,3,kde,0.1,,True,kde,0.8610431468937717,1.747526123992302,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
179,3,kde,0.1,,True,counts,0.8610431468937717,1.747526123992302,0.2536785635538243,-38.709121360285415,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
180,3,kde,0.2,,True,kde,0.8610431468937717,1.747526123992302,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
181,3,kde,0.2,,True,counts,0.8610431468937717,1.747526123992302,0.2536785635538243,-38.709121360285415,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
182,3,kde,0.5,,True,kde,0.8610431468937717,1.747526123992302,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
183,3,kde,0.5,,True,counts,0.8610431468937717,1.747526123992302,0.2536785635538243,-38.709121360285415,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
184,3,kde,r0.01,,True,kde,0.8610431468937717,1.747526123992302,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
185,3,kde,r0.01,,True,counts,0.8610431468937717,1.747526123992302,0.2536785635538243,-38.709121360285415,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
186,3,kde,r0.1,,True,kde,0.8610431468937717,1.747526123992302,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
187,3,kde,r0.1,,True,counts,0.8610431468937717,1.747526123992302,0.2536785635538243,-38.709121360285415,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
188,3,kde,r0.2,,True,kde,0.8610431468937717,1.747526123992302,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
189,3,kde,r0.2,,True,counts,0.8610431468937717,1.747526123992302,0.2536785635538243,-38.709121360285415,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
190,3,kde,r0.5,,True,kde,0.8610431468937717,1.747526123992302,0.29701294160688657,-5.3500763590325136,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
