dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared
synthetic_normal,normal,10000,10000,0.5,0.5,1,0.0340731143951416,0.023588895797729492,18.640625,0.0,8.863673873044003e-09,9.022334336205605e-09
synthetic_normal,normal,10000,10000,0.5,0.5,2,0.03034806251525879,0.02415180206298828,-0.171875,0.0,7.541512096793504e-09,7.76379063752341e-09
synthetic_normal,normal,10000,10000,0.5,0.5,3,0.031568050384521484,0.023263931274414062,-2.890625,0.015625,7.3804023218732145e-09,7.511238761783654e-09
synthetic_normal,normal,10000,10000,0.5,0.5,4,0.032679080963134766,0.02390313148498535,23.625,0.0,4.892391995711559e-09,5.033361198680925e-09
synthetic_normal,normal,10000,10000,r0.1,3.924318979027335,0,0.1765120029449463,0.028779983520507812,-4.53125,0.0,1.7264276426328533e-07,3.2868211524183516e-07
synthetic_normal,normal,10000,10000,r0.1,3.881446627447849,1,0.17503881454467773,0.02802276611328125,2.3125,0.03125,1.690689883471475e-07,3.203897493070132e-07
synthetic_normal,normal,10000,10000,r0.1,3.924318979027335,2,0.17551589012145996,0.02875804901123047,8.875,0.03125,1.705435015077696e-07,3.2399061371296714e-07
synthetic_normal,normal,10000,10000,r0.1,3.924318979027335,3,0.16964507102966309,0.028909921646118164,-2.5,0.0,1.822202097282574e-07,3.4868667444269117e-07
synthetic_normal,normal,10000,10000,r0.1,3.725727719594413,4,0.17594337463378906,0.02878570556640625,0.140625,0.078125,1.756307590392074e-07,3.234199975348971e-07
synthetic_normal,normal,10000,10000,r0.3,11.772956937082004,0,0.5619099140167236,0.028733015060424805,-64.921875,0.0,-3.441733315850964e-08,5.2085740722765475e-09
synthetic_normal,normal,10000,10000,r0.3,11.644339882343546,1,0.5329928398132324,0.028068065643310547,79.1875,0.0,-3.494877446910673e-08,5.302146023003934e-09
synthetic_normal,normal,10000,10000,r0.3,11.772956937082004,2,0.5220551490783691,0.027986764907836914,16.859375,0.0,-3.4525462767742704e-08,5.216726850031429e-09
synthetic_normal,normal,10000,10000,r0.3,11.772956937082004,3,0.6598567962646484,0.029616117477416992,-100.75,0.015625,-3.3517497338670055e-08,5.167103346042005e-09
synthetic_normal,normal,10000,10000,r0.3,11.177183158783238,4,0.5150411128997803,0.028995752334594727,81.65625,0.0,-3.9509167127586995e-08,6.205796594529606e-09
synthetic_normal,normal,100000,100000,0.1,0.1,0,0.08980679512023926,0.1836390495300293,49.09375,2.40625,2.5537831476868196e-09,2.588230155686246e-09
synthetic_normal,normal,100000,100000,0.1,0.1,1,0.09450125694274902,0.18358182907104492,0.390625,0.390625,1.4368186901530517e-09,1.4830425294921394e-09
synthetic_normal,normal,100000,100000,0.1,0.1,2,0.09142589569091797,0.1846609115600586,0.34375,0.15625,2.1310898236077478e-09,2.184325636546939e-09
synthetic_normal,normal,100000,100000,0.1,0.1,3,0.09922504425048828,0.18794822692871094,0.0,0.0,2.3216196986102295e-09,2.3582566778651566e-09
synthetic_normal,normal,100000,100000,0.1,0.1,4,0.0912330150604248,0.18698692321777344,10.609375,0.078125,3.0953571349643375e-09,3.1366654436006275e-09
synthetic_normal,normal,100000,100000,0.3,0.3,0,0.21761393547058105,0.20437097549438477,-9.96875,0.015625,7.697672971084809e-10,8.208540252861515e-10
synthetic_normal,normal,100000,100000,0.3,0.3,1,0.19242191314697266,0.2011120319366455,-37.03125,0.0,1.435807989983854e-09,1.4863428559910094e-09
synthetic_normal,normal,100000,100000,0.3,0.3,2,0.18473505973815918,0.20116400718688965,-6.390625,0.0,1.0233354809014003e-09,1.0363280448719323e-09
synthetic_normal,normal,100000,100000,0.3,0.3,3,0.1763768196105957,0.2014172077178955,-26.015625,0.0,1.0239792266836453e-09,1.0376151689867778e-09
synthetic_normal,normal,100000,100000,0.3,0.3,4,0.1786799430847168,0.20209217071533203,-5.234375,0.0,6.017531112298107e-10,6.795368887829843e-10
synthetic_normal,normal,100000,100000,0.5,0.5,0,0.3005068302154541,0.21994614601135254,-40.296875,0.421875,6.896133947870887e-10,7.285363127881439e-10
synthetic_normal,normal,100000,100000,0.5,0.5,1,0.27426695823669434,0.22088098526000977,-16.0,1.1875,6.897784748312155e-10,7.320658845053682e-10
synthetic_normal,normal,100000,100000,0.5,0.5,2,0.276104211807251,0.22015619277954102,0.03125,0.0,9.805748054448113e-10,1.0188474087772108e-09
synthetic_normal,normal,100000,100000,0.5,0.5,3,0.25884079933166504,0.2202308177947998,-0.015625,0.046875,9.816386995776523e-10,1.0209745765241126e-09
synthetic_normal,normal,100000,100000,0.5,0.5,4,0.2812159061431885,0.22335004806518555,-0.609375,0.0,7.989423381167929e-10,8.37493958161058e-10
synthetic_normal,normal,100000,100000,r0.1,4.47102638905293,0,2.282970905303955,0.28270602226257324,-77.640625,0.4375,3.1213718093746105e-07,6.082191877712234e-07
synthetic_normal,normal,100000,100000,r0.1,4.472344057277318,1,2.2794189453125,0.27879977226257324,-63.78125,6.109375,3.1584056602969146e-07,6.159515992847494e-07
synthetic_normal,normal,100000,100000,r0.1,4.472344057277318,2,1.9965789318084717,0.2783360481262207,163.453125,0.328125,2.922400315487126e-07,5.712599728543193e-07
synthetic_normal,normal,100000,100000,r0.1,4.472344057277318,3,2.2161641120910645,0.280925989151001,-147.328125,5.1875,3.0097352825105703e-07,5.881734426923892e-07
synthetic_normal,normal,100000,100000,r0.1,4.333814881647439,4,2.1290860176086426,0.27710890769958496,-41.390625,1.015625,2.728186211139266e-07,5.304370124384813e-07
